,./all_models/frozen/models_by_iteration_iter_0,./all_models/frozen/models_by_iteration_iter_1,./all_models/frozen/models_by_iteration_iter_2,./all_models/frozen/models_by_iteration_iter_3,./all_models/frozen/models_by_iteration_iter_4,./all_models/frozen/models_by_iteration_iter_5,./all_models/frozen/models_by_iteration_iter_6,./all_models/frozen/models_by_iteration_iter_7,./all_models/frozen/models_by_iteration_iter_8,./all_models/frozen/models_by_iteration_iter_9,./all_models/frozen/models_by_iteration_iter_10,./all_models/frozen/models_by_iteration_iter_11,./all_models/frozen/models_by_iteration_iter_12,./all_models/frozen/models_by_iteration_iter_13,./all_models/frozen/models_by_iteration_iter_14,./all_models/frozen/models_by_iteration_iter_15,./all_models/frozen/models_by_iteration_iter_16,./all_models/frozen/models_by_iteration_iter_17,./all_models/frozen/models_by_iteration_iter_18,./all_models/frozen/models_by_iteration_iter_19,./all_models/normal/models_by_iteration_iter_0,./all_models/normal/models_by_iteration_iter_1,./all_models/normal/models_by_iteration_iter_2,./all_models/normal/models_by_iteration_iter_3,./all_models/normal/models_by_iteration_iter_4,./all_models/normal/models_by_iteration_iter_5,./all_models/normal/models_by_iteration_iter_6,./all_models/normal/models_by_iteration_iter_7,./all_models/normal/models_by_iteration_iter_8,./all_models/normal/models_by_iteration_iter_9,./all_models/normal/models_by_iteration_iter_10,./all_models/normal/models_by_iteration_iter_11,./all_models/normal/models_by_iteration_iter_12,./all_models/normal/models_by_iteration_iter_13,./all_models/normal/models_by_iteration_iter_14,./all_models/normal/models_by_iteration_iter_15,./all_models/normal/models_by_iteration_iter_16,./all_models/normal/models_by_iteration_iter_17,./all_models/normal/models_by_iteration_iter_18,./all_models/normal/models_by_iteration_iter_19,./all_models/vs_all/models_by_iteration_iter_0,./all_models/vs_all/models_by_iteration_iter_1,./all_models/vs_all/models_by_iteration_iter_2,./all_models/vs_all/models_by_iteration_iter_3,./all_models/vs_all/models_by_iteration_iter_4,./all_models/vs_all/models_by_iteration_iter_5,./all_models/vs_all/models_by_iteration_iter_6,./all_models/vs_all/models_by_iteration_iter_7,./all_models/vs_all/models_by_iteration_iter_8,./all_models/vs_all/models_by_iteration_iter_9,./all_models/vs_all/models_by_iteration_iter_10,./all_models/vs_all/models_by_iteration_iter_11,./all_models/vs_all/models_by_iteration_iter_12,./all_models/vs_all/models_by_iteration_iter_13,./all_models/vs_all/models_by_iteration_iter_14,./all_models/vs_all/models_by_iteration_iter_15,./all_models/vs_all/models_by_iteration_iter_16,./all_models/vs_all/models_by_iteration_iter_17,./all_models/vs_all/models_by_iteration_iter_18,./all_models/vs_all/models_by_iteration_iter_19
./all_models/frozen/models_by_iteration_iter_10,8:0:0,8:0:0,7:0:1,8:0:0,8:0:0,6:2:0,3:4:1,2:6:0,0:8:0,0:8:0,-,0:8:0,0:8:0,0:8:0,0:8:0,1:7:0,0:8:0,0:8:0,0:8:0,0:7:1,8:0:0,8:0:0,8:0:0,8:0:0,6:0:2,7:0:1,7:0:1,3:5:0,1:7:0,0:8:0,1:6:1,2:6:0,0:8:0,2:6:0,1:7:0,2:6:0,1:7:0,0:8:0,0:7:1,2:6:0,8:0:0,8:0:0,8:0:0,7:1:0,7:1:0,8:0:0,6:2:0,6:2:0,2:5:1,4:4:0,1:7:0,1:7:0,3:5:0,2:6:0,2:6:0,0:8:0,2:6:0,3:4:1,5:3:0,1:7:0
./all_models/frozen/models_by_iteration_iter_11,8:0:0,8:0:0,8:0:0,7:0:1,8:0:0,7:0:1,4:3:1,2:6:0,1:7:0,1:7:0,0:8:0,-,1:7:0,1:7:0,0:8:0,1:7:0,2:6:0,4:3:1,0:8:0,1:7:0,8:0:0,8:0:0,8:0:0,7:0:1,7:0:1,7:0:1,5:2:1,3:5:0,3:5:0,1:7:0,3:4:1,1:7:0,0:8:0,2:5:1,2:6:0,2:6:0,1:7:0,0:8:0,0:8:0,0:8:0,8:0:0,8:0:0,7:0:1,8:0:0,7:0:1,5:0:3,8:0:0,7:1:0,3:5:0,2:6:0,1:7:0,1:7:0,1:7:0,2:6:0,0:8:0,3:5:0,2:6:0,2:6:0,1:7:0,2:6:0
./all_models/frozen/models_by_iteration_iter_12,8:0:0,8:0:0,7:0:1,5:1:2,7:0:1,5:1:2,3:5:0,4:4:0,1:7:0,2:6:0,2:6:0,2:6:0,-,0:8:0,0:8:0,2:5:1,1:7:0,2:5:1,1:7:0,0:8:0,8:0:0,7:0:1,8:0:0,7:1:0,7:1:0,8:0:0,6:0:2,4:4:0,1:7:0,2:5:1,4:4:0,3:5:0,0:8:0,1:6:1,1:6:1,3:4:1,1:7:0,1:7:0,0:8:0,1:7:0,7:1:0,8:0:0,7:0:1,7:1:0,6:2:0,7:1:0,8:0:0,6:1:1,3:5:0,3:5:0,5:3:0,3:5:0,1:7:0,1:7:0,3:5:0,2:6:0,2:5:1,1:7:0,1:7:0,3:5:0
./all_models/frozen/models_by_iteration_iter_13,8:0:0,8:0:0,8:0:0,7:1:0,7:0:1,8:0:0,5:3:0,3:5:0,3:5:0,1:7:0,1:7:0,0:8:0,3:5:0,-,0:8:0,2:6:0,0:8:0,0:8:0,0:8:0,0:8:0,8:0:0,8:0:0,8:0:0,6:2:0,7:0:1,8:0:0,4:1:3,1:7:0,2:6:0,1:7:0,1:7:0,1:7:0,2:6:0,1:7:0,1:7:0,2:6:0,0:8:0,0:7:1,0:8:0,1:7:0,8:0:0,8:0:0,8:0:0,8:0:0,7:0:1,8:0:0,5:2:1,6:1:1,5:3:0,2:6:0,1:7:0,3:5:0,0:7:1,2:5:1,1:7:0,3:5:0,3:4:1,2:5:1,4:3:1,4:4:0
./all_models/frozen/models_by_iteration_iter_14,8:0:0,7:0:1,8:0:0,8:0:0,7:1:0,8:0:0,2:6:0,2:6:0,0:7:1,2:5:1,2:6:0,1:7:0,2:6:0,2:6:0,-,3:5:0,0:7:1,1:7:0,1:7:0,2:6:0,8:0:0,8:0:0,8:0:0,6:1:1,7:1:0,6:0:2,4:0:4,2:6:0,0:8:0,1:7:0,1:7:0,0:8:0,1:7:0,4:4:0,2:6:0,1:7:0,1:7:0,0:6:2,0:8:0,0:7:1,8:0:0,8:0:0,8:0:0,7:1:0,7:0:1,7:1:0,8:0:0,6:0:2,5:3:0,2:6:0,2:6:0,1:7:0,1:7:0,3:5:0,3:5:0,3:5:0,2:6:0,0:8:0,2:6:0,1:7:0
./all_models/frozen/models_by_iteration_iter_15,8:0:0,8:0:0,8:0:0,7:0:1,8:0:0,6:1:1,7:1:0,2:6:0,2:6:0,1:7:0,2:6:0,2:6:0,0:8:0,2:6:0,1:7:0,-,1:7:0,2:6:0,1:7:0,2:6:0,8:0:0,6:0:2,6:2:0,8:0:0,8:0:0,7:1:0,8:0:0,1:7:0,0:8:0,2:6:0,2:5:1,1:7:0,2:6:0,2:6:0,1:6:1,1:7:0,1:7:0,2:6:0,0:8:0,1:7:0,8:0:0,7:0:1,8:0:0,7:1:0,6:1:1,7:1:0,7:1:0,6:2:0,3:5:0,2:6:0,1:7:0,1:7:0,2:6:0,0:8:0,1:7:0,2:6:0,2:6:0,1:7:0,0:8:0,1:7:0
./all_models/frozen/models_by_iteration_iter_16,8:0:0,8:0:0,7:1:0,8:0:0,7:1:0,8:0:0,3:5:0,0:8:0,2:6:0,1:7:0,2:6:0,1:7:0,1:7:0,0:8:0,1:7:0,1:7:0,-,1:7:0,4:4:0,3:5:0,8:0:0,7:0:1,8:0:0,7:1:0,6:1:1,8:0:0,5:2:1,1:7:0,3:5:0,1:7:0,3:5:0,2:6:0,1:7:0,3:5:0,1:7:0,1:7:0,1:7:0,0:8:0,0:8:0,0:8:0,8:0:0,7:0:1,8:0:0,6:2:0,6:0:2,8:0:0,6:2:0,3:3:2,4:3:1,2:6:0,4:4:0,1:7:0,1:7:0,1:7:0,4:4:0,2:6:0,1:7:0,1:7:0,1:7:0,2:6:0
./all_models/frozen/models_by_iteration_iter_17,8:0:0,8:0:0,8:0:0,6:2:0,7:1:0,7:1:0,3:5:0,5:3:0,2:6:0,1:7:0,2:6:0,0:8:0,1:7:0,0:8:0,2:6:0,2:6:0,2:6:0,-,0:8:0,1:7:0,8:0:0,8:0:0,8:0:0,8:0:0,7:1:0,5:1:2,8:0:0,3:5:0,2:6:0,1:6:1,2:6:0,0:8:0,0:8:0,4:4:0,2:6:0,2:6:0,0:8:0,0:7:1,0:8:0,0:8:0,8:0:0,8:0:0,8:0:0,8:0:0,7:1:0,5:2:1,8:0:0,3:5:0,4:4:0,4:4:0,1:7:0,2:6:0,2:5:1,2:6:0,1:7:0,1:7:0,4:4:0,2:6:0,1:6:1,3:4:1
./all_models/frozen/models_by_iteration_iter_18,8:0:0,8:0:0,8:0:0,8:0:0,7:1:0,8:0:0,1:7:0,2:6:0,0:8:0,0:8:0,4:4:0,1:7:0,0:8:0,0:8:0,2:6:0,2:6:0,1:7:0,1:7:0,-,0:8:0,8:0:0,8:0:0,8:0:0,7:1:0,7:0:1,7:1:0,4:2:2,3:5:0,2:6:0,0:8:0,1:6:1,0:8:0,2:6:0,2:6:0,2:6:0,2:6:0,0:8:0,0:8:0,1:7:0,1:7:0,8:0:0,8:0:0,7:0:1,7:0:1,8:0:0,7:0:1,8:0:0,4:3:1,5:3:0,2:6:0,1:7:0,3:5:0,1:7:0,2:6:0,0:8:0,2:6:0,0:8:0,1:7:0,3:5:0,2:6:0
./all_models/frozen/models_by_iteration_iter_19,7:0:1,8:0:0,7:1:0,8:0:0,7:0:1,7:1:0,5:3:0,2:6:0,3:5:0,1:7:0,0:8:0,1:7:0,2:6:0,1:7:0,1:7:0,1:7:0,0:8:0,0:8:0,1:7:0,-,8:0:0,8:0:0,6:0:2,7:1:0,7:1:0,7:1:0,6:1:1,0:8:0,3:5:0,2:6:0,0:8:0,0:8:0,0:8:0,1:7:0,3:5:0,0:8:0,1:7:0,2:6:0,1:7:0,1:7:0,8:0:0,7:0:1,7:1:0,7:0:1,7:1:0,7:1:0,7:0:1,6:2:0,4:1:3,4:4:0,1:7:0,2:6:0,0:8:0,1:7:0,1:6:1,2:6:0,3:5:0,3:4:1,2:6:0,2:6:0
./all_models/normal/models_by_iteration_iter_0,5:0:3,0:0:8,0:1:7,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,2:0:6,0:0:8,1:0:7,0:0:8,4:0:4,1:0:7,2:0:6,0:0:8,1:0:7,0:0:8,3:0:5,-,2:0:6,0:0:8,0:0:8,0:0:8,0:0:8,1:0:7,2:0:6,1:0:7,0:0:8,1:0:7,2:0:6,1:0:7,1:1:6,0:0:8,1:0:7,0:0:8,0:0:8,0:0:8,0:0:8,4:0:4,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,1:0:7,0:0:8,0:0:8,1:0:7
./all_models/normal/models_by_iteration_iter_1,8:0:0,4:0:4,1:0:7,0:0:8,0:0:8,0:0:8,0:0:8,2:1:5,2:0:6,2:0:6,2:0:6,1:0:7,2:0:6,3:0:5,2:0:6,3:0:5,2:0:6,4:1:3,0:0:8,1:0:7,7:0:1,-,0:0:8,0:0:8,0:1:7,0:0:8,1:0:7,1:0:7,2:0:6,1:0:7,2:0:6,1:0:7,2:0:6,0:1:7,2:0:6,2:0:6,0:0:8,0:0:8,0:0:8,1:0:7,7:0:1,3:0:5,2:0:6,1:0:7,2:0:6,0:0:8,0:0:8,1:0:7,0:0:8,0:0:8,0:0:8,1:0:7,0:1:7,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8,0:0:8
./all_models/normal/models_by_iteration_iter_2,8:0:0,7:0:1,3:0:5,1:2:5,1:0:7,1:0:7,0:0:8,1:0:7,1:2:5,1:1:6,0:2:6,0:0:8,3:0:5,1:0:7,3:0:5,2:0:6,2:0:6,2:0:6,1:0:7,1:1:6,7:0:1,8:0:0,-,0:0:8,1:0:7,0:0:8,1:0:7,4:0:4,1:1:6,2:0:6,4:0:4,1:1:6,2:0:6,2:0:6,0:2:6,2:0:6,1:1:6,2:0:6,0:0:8,1:0:7,8:0:0,7:0:1,6:0:2,1:0:7,1:1:6,0:0:8,0:0:8,0:0:8,2:0:6,1:0:7,0:0:8,0:0:8,0:0:8,0:1:7,0:0:8,0:0:8,0:1:7,1:0:7,0:1:7,0:0:8
./all_models/normal/models_by_iteration_iter_3,8:0:0,8:0:0,7:0:1,2:5:1,0:0:8,0:1:7,0:1:7,1:2:5,1:1:6,3:2:3,2:0:6,3:1:4,3:1:4,2:1:5,2:0:6,0:2:6,0:0:8,1:0:7,5:0:3,2:1:5,7:0:1,8:0:0,6:1:1,-,1:0:7,0:1:7,0:0:8,2:0:6,0:0:8,1:0:7,2:1:5,3:1:4,0:2:6,3:0:5,1:0:7,3:0:5,2:0:6,0:0:8,1:0:7,2:2:4,7:0:1,7:0:1,7:0:1,3:1:4,0:1:7,0:1:7,0:0:8,0:1:7,0:0:8,0:0:8,0:0:8,1:0:7,1:0:7,0:0:8,0:0:8,0:0:8,1:1:6,0:0:8,2:0:6,0:0:8
./all_models/normal/models_by_iteration_iter_4,8:0:0,7:0:1,7:0:1,7:0:1,1:4:3,0:2:6,1:1:6,1:5:2,0:2:6,2:2:4,0:0:8,3:1:4,1:1:6,3:0:5,2:1:5,2:1:5,1:1:6,1:1:6,1:0:7,4:0:4,8:0:0,8:0:0,8:0:0,7:1:0,-,0:5:3,0:1:7,0:3:5,0:0:8,0:2:6,3:0:5,2:1:5,1:1:6,0:2:6,4:2:2,4:3:1,7:0:1,1:2:5,5:0:3,1:3:4,8:0:0,6:0:2,6:0:2,2:0:6,1:1:6,0:2:6,1:0:7,0:0:8,0:1:7,1:0:7,1:0:7,0:1:7,1:2:5,0:0:8,0:1:7,1:0:7,0:1:7,0:1:7,1:1:6,0:0:8
./all_models/normal/models_by_iteration_iter_5,8:0:0,7:0:1,7:0:1,8:0:0,5:2:1,2:2:4,1:2:5,3:1:4,4:2:2,4:0:4,1:1:6,3:2:3,1:4:3,0:1:7,4:1:3,1:2:5,1:1:6,4:1:3,0:1:7,3:2:3,8:0:0,8:0:0,7:0:1,7:1:0,6:2:0,-,0:1:7,0:2:6,3:1:4,4:0:4,1:2:5,5:1:2,3:4:1,0:1:7,5:0:3,4:0:4,2:1:5,6:0:2,1:1:6,3:3:2,8:0:0,8:0:0,7:1:0,7:0:1,5:1:2,2:0:6,1:1:6,1:1:6,2:1:5,0:2:6,3:2:3,0:1:7,0:0:8,0:1:7,0:1:7,1:0:7,1:0:7,0:1:7,0:2:6,0:1:7
./all_models/normal/models_by_iteration_iter_6,8:0:0,8:0:0,8:0:0,8:0:0,4:3:1,4:1:3,1:2:5,0:5:3,0:2:6,1:2:5,1:2:5,0:0:8,1:0:7,0:0:8,1:2:5,0:2:6,0:2:6,1:2:5,0:0:8,2:1:5,8:0:0,8:0:0,8:0:0,8:0:0,8:0:0,6:1:1,-,0:5:3,0:1:7,0:1:7,0:2:6,0:2:6,1:3:4,2:0:6,1:1:6,0:1:7,0:2:6,2:2:4,0:4:4,0:3:5,8:0:0,7:0:1,5:3:0,7:0:1,5:0:3,4:3:1,2:4:2,1:3:4,1:3:4,0:3:5,0:0:8,0:1:7,0:1:7,0:1:7,0:1:7,1:2:5,0:2:6,1:2:5,2:3:3,0:2:6
./all_models/normal/models_by_iteration_iter_7,8:0:0,8:0:0,8:0:0,8:0:0,7:1:0,2:4:2,1:7:0,0:7:1,0:8:0,0:5:3,0:8:0,0:7:1,0:6:2,1:6:1,0:6:2,0:7:1,0:7:1,1:4:3,0:6:2,0:6:2,8:0:0,8:0:0,8:0:0,7:0:1,8:0:0,8:0:0,5:3:0,-,0:7:1,0:8:0,0:7:1,0:7:1,0:7:1,1:6:1,2:2:4,2:2:4,0:4:4,0:4:4,1:5:2,1:2:5,8:0:0,7:1:0,7:1:0,8:0:0,5:1:2,5:1:2,2:4:2,3:3:2,0:4:4,1:6:1,1:4:3,1:5:2,0:6:2,1:4:3,0:5:3,0:7:1,0:7:1,0:6:2,0:6:2,0:6:2
./all_models/normal/models_by_iteration_iter_8,8:0:0,8:0:0,8:0:0,7:0:1,8:0:0,6:2:0,4:3:1,1:7:0,0:8:0,0:7:1,0:8:0,2:5:1,0:5:3,1:7:0,1:6:1,0:8:0,0:7:1,0:8:0,0:7:1,1:7:0,8:0:0,8:0:0,8:0:0,7:0:1,7:1:0,8:0:0,6:1:1,1:7:0,-,0:8:0,0:8:0,1:7:0,0:8:0,3:5:0,0:1:7,0:2:6,0:2:6,0:4:4,0:5:3,0:4:4,8:0:0,8:0:0,8:0:0,8:0:0,7:0:1,4:2:2,8:0:0,5:3:0,1:7:0,2:6:0,1:7:0,1:5:2,0:7:1,1:5:2,0:5:3,0:7:1,0:6:2,0:6:2,0:6:2,1:7:0
./all_models/normal/models_by_iteration_iter_9,8:0:0,8:0:0,8:0:0,7:0:1,7:1:0,6:1:1,1:5:2,0:5:3,0:7:1,2:5:1,0:8:0,2:6:0,1:7:0,1:7:0,4:4:0,3:5:0,4:4:0,1:7:0,3:4:1,2:5:1,8:0:0,8:0:0,8:0:0,8:0:0,8:0:0,8:0:0,5:3:0,3:5:0,0:8:0,-,2:6:0,0:8:0,0:8:0,1:7:0,0:4:4,1:6:1,0:6:2,0:7:1,0:6:2,0:6:2,8:0:0,8:0:0,7:0:1,8:0:0,8:0:0,6:1:1,7:1:0,5:3:0,3:3:2,1:7:0,2:5:1,1:7:0,0:8:0,1:7:0,1:7:0,1:7:0,1:7:0,2:6:0,3:4:1,1:7:0
